hostAddress,port,ipProtocol,appProtocol,totalIdentities,totalHits,totalAllowed,totalBlocked,associatedPrivateResources,firstSeen,lastSeen,label
10.0.0.248,50020,UDP,,1,1,1,0,,05/05/2025 14:39:25 BST,05/05/2025 14:39:25 BST,NOT_REVIEWED
10.0.0.248,50051,UDP,,1,1,1,0,,05/05/2025 15:13:13 BST,05/05/2025 15:13:13 BST,NOT_REVIEWED
10.0.0.27,61617,UDP,stun-nat,1,1,1,0,,21/05/2025 5:04:26 BST,21/05/2025 5:04:26 BST,NOT_REVIEWED
10.0.0.33,8080,TCP,http,1,6,6,0,,16/05/2025 15:21:20 BST,21/05/2025 21:40:13 BST,NOT_REVIEWED
10.0.0.33,443,TCP,https,1,3,3,0,,16/05/2025 15:21:54 BST,21/05/2025 21:40:45 BST,NOT_REVIEWED
10.0.0.33,58787,UDP,stun-nat,1,1,1,0,,30/04/2025 17:19:18 BST,30/04/2025 17:19:18 BST,NOT_REVIEWED
10.0.0.36,61552,UDP,stun-nat,1,1,1,0,,21/05/2025 5:23:16 BST,21/05/2025 5:23:16 BST,NOT_REVIEWED
10.0.0.36,61552,UDP,stun-nat,1,1,1,0,,21/05/2025 5:23:16 BST,21/05/2025 5:23:16 BST,NOT_REVIEWED
10.0.0.38,56739,UDP,stun-nat,1,1,1,0,,30/04/2025 16:57:03 BST,30/04/2025 16:57:03 BST,NOT_REVIEWED
10.0.0.42,57214,UDP,stun-nat,1,1,1,0,,30/04/2025 17:02:04 BST,30/04/2025 17:02:04 BST,NOT_REVIEWED
10.0.0.42,57214,UDP,stun-nat,1,1,1,0,,30/04/2025 17:02:04 BST,30/04/2025 17:02:04 BST,NOT_REVIEWED
10.0.0.42,57214,UDP,stun-nat,1,1,1,0,,30/04/2025 17:02:04 BST,30/04/2025 17:02:04 BST,NOT_REVIEWED
10.0.0.44,63959,UDP,stun-nat,1,1,1,0,,21/05/2025 5:51:06 BST,21/05/2025 5:51:06 BST,NOT_REVIEWED
10.0.0.44,63959,UDP,stun-nat,1,1,1,0,,21/05/2025 5:51:06 BST,21/05/2025 5:51:06 BST,NOT_REVIEWED
10.0.0.47,65087,UDP,,1,1,1,0,,23/05/2025 13:18:25 BST,23/05/2025 13:18:25 BST,NOT_REVIEWED
10.0.0.47,63852,UDP,,1,1,1,0,,22/05/2025 13:21:57 BST,22/05/2025 13:21:57 BST,NOT_REVIEWED
10.0.0.47,65087,UDP,,1,1,1,0,,23/05/2025 13:18:25 BST,23/05/2025 13:18:25 BST,NOT_REVIEWED
10.0.0.47,56414,UDP,stun-nat,1,1,1,0,,30/04/2025 16:37:25 BST,30/04/2025 16:37:25 BST,NOT_REVIEWED
10.0.0.47,63852,UDP,,1,1,1,0,,22/05/2025 13:21:57 BST,22/05/2025 13:21:57 BST,NOT_REVIEWED
10.0.0.47,56414,UDP,stun-nat,1,1,1,0,,30/04/2025 16:37:25 BST,30/04/2025 16:37:25 BST,NOT_REVIEWED
10.0.0.47,55572,UDP,stun-nat,1,1,1,0,,30/04/2025 17:12:07 BST,30/04/2025 17:12:07 BST,NOT_REVIEWED
10.0.0.47,50661,UDP,,1,1,1,0,,07/05/2025 16:34:22 BST,07/05/2025 16:34:22 BST,NOT_REVIEWED
10.0.0.47,50661,UDP,,1,1,1,0,,07/05/2025 16:34:22 BST,07/05/2025 16:34:22 BST,NOT_REVIEWED
10.0.0.47,55572,UDP,stun-nat,1,1,1,0,,30/04/2025 17:12:07 BST,30/04/2025 17:12:07 BST,NOT_REVIEWED
10.0.0.47,51301,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:09 BST,30/04/2025 16:55:09 BST,NOT_REVIEWED
10.0.0.47,51301,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:09 BST,30/04/2025 16:55:09 BST,NOT_REVIEWED
10.0.0.47,54148,UDP,,1,1,1,0,,29/05/2025 10:49:38 BST,29/05/2025 10:49:38 BST,NOT_REVIEWED
10.0.0.53,64539,UDP,stun-nat,1,1,1,0,,21/05/2025 5:55:56 BST,21/05/2025 5:55:56 BST,NOT_REVIEWED
10.0.0.57,52087,UDP,stun-nat,1,1,1,0,,21/05/2025 5:38:06 BST,21/05/2025 5:38:06 BST,NOT_REVIEWED
10.0.0.57,58958,UDP,stun-nat,1,1,1,0,,21/05/2025 5:28:06 BST,21/05/2025 5:28:06 BST,NOT_REVIEWED
10.0.0.57,52087,UDP,stun-nat,1,1,1,0,,21/05/2025 5:38:06 BST,21/05/2025 5:38:06 BST,NOT_REVIEWED
10.0.0.57,58958,UDP,stun-nat,1,1,1,0,,21/05/2025 5:28:06 BST,21/05/2025 5:28:06 BST,NOT_REVIEWED
10.0.0.59,49369,UDP,stun-nat,1,1,1,0,,21/05/2025 5:18:16 BST,21/05/2025 5:18:16 BST,NOT_REVIEWED
10.0.0.60,53930,UDP,stun-nat,1,1,1,0,,30/04/2025 16:35:33 BST,30/04/2025 16:35:33 BST,NOT_REVIEWED
10.0.0.66,51399,UDP,stun-nat,1,1,1,0,,21/05/2025 5:37:47 BST,21/05/2025 5:37:47 BST,NOT_REVIEWED
10.0.0.66,51399,UDP,stun-nat,1,1,1,0,,21/05/2025 5:37:47 BST,21/05/2025 5:37:47 BST,NOT_REVIEWED
10.0.0.66,59646,UDP,stun-nat,1,1,1,0,,30/04/2025 16:49:15 BST,30/04/2025 16:49:15 BST,NOT_REVIEWED
10.0.0.66,59646,UDP,stun-nat,1,1,1,0,,30/04/2025 16:49:15 BST,30/04/2025 16:49:15 BST,NOT_REVIEWED
10.0.0.80,49705,UDP,stun-nat,1,1,1,0,,30/04/2025 8:13:31 BST,30/04/2025 8:13:31 BST,NOT_REVIEWED
10.0.0.80,49705,UDP,stun-nat,1,1,1,0,,30/04/2025 8:13:31 BST,30/04/2025 8:13:31 BST,NOT_REVIEWED
10.0.0.84,58632,UDP,stun-nat,1,1,1,0,,21/05/2025 5:40:59 BST,21/05/2025 5:40:59 BST,NOT_REVIEWED
10.0.0.84,58632,UDP,stun-nat,1,1,1,0,,21/05/2025 5:40:59 BST,21/05/2025 5:40:59 BST,NOT_REVIEWED
10.0.0.87,58609,UDP,stun-nat,1,1,1,0,,30/04/2025 17:03:29 BST,30/04/2025 17:03:29 BST,NOT_REVIEWED
10.0.0.99,55007,UDP,stun-nat,1,1,1,0,,30/04/2025 16:42:44 BST,30/04/2025 16:42:44 BST,NOT_REVIEWED
10.0.0.99,55007,UDP,stun-nat,1,1,1,0,,30/04/2025 16:42:44 BST,30/04/2025 16:42:44 BST,NOT_REVIEWED
